category,date,downloads
Darwin,2019-09-16,35106
Darwin,2019-09-17,32484
Darwin,2019-09-18,34925
Darwin,2019-09-19,40803
Darwin,2019-09-20,41015
Darwin,2019-09-21,28325
Darwin,2019-09-22,27781
Darwin,2019-09-23,40712
Darwin,2019-09-24,57127
Darwin,2019-09-25,87887
Darwin,2019-09-26,68667
Darwin,2019-09-27,59065
Darwin,2019-09-28,19169
Darwin,2019-09-29,17426
Darwin,2019-09-30,35504
Darwin,2019-10-01,37300
Darwin,2019-10-02,36527
Darwin,2019-10-03,42532
Darwin,2019-10-04,38261
Darwin,2019-10-05,16213
Darwin,2019-10-06,15622
Darwin,2019-10-07,34768
Darwin,2019-10-08,37308
Darwin,2019-10-09,38621
Darwin,2019-10-10,39631
Darwin,2019-10-11,40101
Darwin,2019-10-12,26021
Darwin,2019-10-13,21778
Darwin,2019-10-14,42376
Darwin,2019-10-15,54661
Darwin,2019-10-16,56772
Darwin,2019-10-17,52336
Darwin,2019-10-18,43029
Darwin,2019-10-19,20375
Darwin,2019-10-20,16757
Darwin,2019-10-21,34994
Darwin,2019-10-22,41186
Darwin,2019-10-23,39360
Darwin,2019-10-24,38170
Darwin,2019-10-25,38651
Darwin,2019-10-26,18919
Darwin,2019-10-27,15571
Darwin,2019-10-28,35574
Darwin,2019-10-29,35595
Darwin,2019-10-30,34109
Darwin,2019-10-31,38715
Darwin,2019-11-01,35362
Darwin,2019-11-02,20343
Darwin,2019-11-03,37138
Darwin,2019-11-04,62992
Darwin,2019-11-05,59323
Darwin,2019-11-06,50753
Darwin,2019-11-07,35478
Darwin,2019-11-08,33952
Darwin,2019-11-09,17884
Darwin,2019-11-10,16938
Darwin,2019-11-11,36654
Darwin,2019-11-12,44852
Darwin,2019-11-13,61020
Darwin,2019-11-14,90255
Darwin,2019-11-15,100628
Darwin,2019-11-16,62421
Darwin,2019-11-17,18472
Darwin,2019-11-18,37035
Darwin,2019-11-19,43687
Darwin,2019-11-20,46886
Darwin,2019-11-21,41162
Darwin,2019-11-22,38177
Darwin,2019-11-23,24710
Darwin,2019-11-24,19110
Darwin,2019-11-25,37750
Darwin,2019-11-26,38780
Darwin,2019-11-27,35961
Darwin,2019-11-28,29042
Darwin,2019-11-29,26913
Darwin,2019-11-30,16688
Darwin,2019-12-01,17174
Darwin,2019-12-02,37118
Darwin,2019-12-03,73646
Darwin,2019-12-04,103799
Darwin,2019-12-05,51571
Darwin,2019-12-06,45175
Darwin,2019-12-07,24173
Darwin,2019-12-08,16039
Darwin,2019-12-09,37756
Darwin,2019-12-10,38030
Darwin,2019-12-11,36290
Darwin,2019-12-12,37480
Darwin,2019-12-13,50000
Darwin,2019-12-14,26802
Darwin,2019-12-15,52162
Darwin,2019-12-16,39113
Darwin,2019-12-17,34107
Darwin,2019-12-18,33924
Darwin,2019-12-19,58089
Darwin,2019-12-20,36376
Darwin,2019-12-21,21200
Darwin,2019-12-22,32236
Darwin,2019-12-23,24646
Darwin,2019-12-24,22447
Darwin,2019-12-25,28630
Darwin,2019-12-26,68035
Darwin,2019-12-27,57742
Darwin,2019-12-28,42459
Darwin,2019-12-29,18740
Darwin,2019-12-30,26656
Darwin,2019-12-31,20230
Darwin,2020-01-01,16410
Darwin,2020-01-02,28432
Darwin,2020-01-03,26972
Darwin,2020-01-04,17021
Darwin,2020-01-05,14082
Darwin,2020-01-06,32104
Darwin,2020-01-07,34494
Darwin,2020-01-08,34787
Darwin,2020-01-09,35754
Darwin,2020-01-10,31838
Darwin,2020-01-11,17487
Darwin,2020-01-12,15879
Darwin,2020-01-13,31552
Darwin,2020-01-14,33627
Darwin,2020-01-15,33602
Darwin,2020-01-16,39824
Darwin,2020-01-17,33274
Darwin,2020-01-18,17568
Darwin,2020-01-19,17832
Darwin,2020-01-20,29088
Darwin,2020-01-21,35934
Darwin,2020-01-22,50326
Darwin,2020-01-23,42215
Darwin,2020-01-24,37882
Darwin,2020-01-25,19058
Darwin,2020-01-26,17466
Darwin,2020-01-27,37090
Darwin,2020-01-28,40124
Darwin,2020-01-29,38259
Darwin,2020-01-30,42350
Darwin,2020-01-31,36431
Darwin,2020-02-01,19137
Darwin,2020-02-02,21488
Darwin,2020-02-03,36406
Darwin,2020-02-04,46018
Darwin,2020-02-05,49356
Darwin,2020-02-06,47815
Darwin,2020-02-07,40736
Darwin,2020-02-08,23163
Darwin,2020-02-09,19566
Darwin,2020-02-10,48278
Darwin,2020-02-11,51778
Darwin,2020-02-12,43584
Darwin,2020-02-13,42272
Darwin,2020-02-14,39702
Darwin,2020-02-15,20698
Darwin,2020-02-16,19088
Darwin,2020-02-17,35190
Darwin,2020-02-18,40657
Darwin,2020-02-19,43841
Darwin,2020-02-20,43167
Darwin,2020-02-21,38861
Darwin,2020-02-22,20478
Darwin,2020-02-23,18343
Darwin,2020-02-24,39280
Darwin,2020-02-25,42259
Darwin,2020-02-26,42069
Darwin,2020-02-27,42757
Darwin,2020-02-28,41492
Darwin,2020-02-29,22699
Darwin,2020-03-01,28164
Darwin,2020-03-02,39287
Darwin,2020-03-03,41471
Darwin,2020-03-04,39813
Darwin,2020-03-05,41026
Darwin,2020-03-06,45185
