id,hood,zipcode,guests,sqft,price
2060,Manhattan,10040,2,,100
2595,Manhattan,10018,2,,225
3831,Brooklyn,11238,3,500.0,89
5099,Manhattan,10016,2,,200
5121,Brooklyn,11216,2,,60
5136,Brooklyn,11232,4,,253
5178,Manhattan,10019,2,,79
5203,Manhattan,10025,1,,79
5238,Manhattan,10002,2,,150
5441,Manhattan,10036,2,,99
5552,Manhattan,10014,2,,160
5803,Brooklyn,11215,2,,89
6021,Manhattan,10025,1,,85
6090,Manhattan,10014,1,,120
6848,Brooklyn,11211,3,500.0,140
6990,Manhattan,10029,1,,65
7097,Brooklyn,11205,4,,199
7750,Manhattan,10029,1,750.0,35
7801,Brooklyn,11211,4,,299
8490,Brooklyn,11216,5,800.0,120
8700,Manhattan,10034,2,700.0,80
9657,Manhattan,10003,3,,175
9668,Manhattan,10031,2,,50
9704,Manhattan,10027,2,900.0,52
9783,Manhattan,10031,2,,50
10452,Brooklyn,11238,3,,70
10962,Brooklyn,11215,2,,89
11708,Brooklyn,11237,2,,85
11943,Brooklyn,11226,1,,150
12048,Manhattan,10002,1,,40
12192,Manhattan,10009,2,,59
12343,Manhattan,10027,3,1.0,150
12627,Brooklyn,11225,2,,150
12937,Queens,11101,4,,130
12940,Brooklyn,11238,2,,110
13050,Brooklyn,11221,5,1400.0,120
13394,Brooklyn,11205,2,,80
13677,Manhattan,10011,1,,150
13808,Brooklyn,11216,2,,80
14290,Brooklyn,11206,2,,228
14314,Brooklyn,11222,4,,149
14322,Manhattan,10010,1,,200
14377,Brooklyn,11211,2,,150
14991,Manhattan,10002,1,,110
15220,Manhattan,10018,1,,69
15341,Manhattan,10002,2,,180
15385,Brooklyn,11249,1,,90
15396,Manhattan,10001,4,,400
15711,Manhattan,10162,6,,200
15729,Brooklyn,11231,4,,89
15962,Manhattan,10009,2,,130
16326,Brooklyn,11238,8,,200
16338,Brooklyn,11205,2,,45
16421,Manhattan,10036,2,,55
16458,Brooklyn,11215,4,,225
16580,Manhattan,10009,2,,80
16595,Brooklyn,11249,4,,220
16821,Manhattan,10009,1,,99
16974,Manhattan,10035,8,2200.0,225
17037,Manhattan,10009,2,,250
17092,Manhattan,10019,1,,51
17693,Manhattan,10032,2,,65
17747,Brooklyn,11238,2,1000.0,105
18127,Manhattan,10003,2,,170
18195,Queens,11377,2,,90
18198,Queens,11377,1,,75
18590,Brooklyn,11205,2,,95
18728,Manhattan,10014,3,,150
18764,Brooklyn,11211,4,,145
19159,Manhattan,10031,3,,110
19169,Manhattan,10002,4,,285
19282,Brooklyn,11226,4,,130
19601,Brooklyn,11201,8,,2000
20300,Manhattan,10009,2,,50
20611,Brooklyn,11211,2,,85
20717,Brooklyn,11238,2,,85
20724,Brooklyn,11206,1,,65
20755,Brooklyn,11238,3,,98
20913,Brooklyn,11211,2,,100
21293,Brooklyn,11237,4,,105
21456,Manhattan,10025,2,,140
21644,Manhattan,10031,1,,89
21794,Manhattan,10014,2,220.0,85
22911,Brooklyn,11233,3,,125
23135,Brooklyn,11231,3,,175
23545,Manhattan,10031,6,1000.0,200
23686,Manhattan,10014,5,,500
24143,Brooklyn,11206,2,,101
24285,Brooklyn,11215,9,,220
25235,Brooklyn,11233,6,1000.0,125
25406,Brooklyn,11211,4,,80
25696,Manhattan,10027,2,,100
25793,Brooklyn,11238,2,0.0,100
26012,Brooklyn,11217,6,,200
26362,Manhattan,10018,1,,59
26520,Brooklyn,11238,3,,125
26559,Manhattan,10009,1,,140
26785,Brooklyn,11215,3,,90
26933,Manhattan,10009,6,700.0,350
26969,Brooklyn,11249,6,,325
27006,Manhattan,10023,4,,235
27024,Manhattan,10001,4,400.0,150
27385,Manhattan,10009,4,850.0,225
27531,Brooklyn,11215,2,,99
27644,Manhattan,10031,6,,170
27659,Brooklyn,11215,9,,400
27759,Manhattan,10023,2,600.0,170
27883,Manhattan,10009,3,350.0,100
28396,Brooklyn,11211,2,800.0,90
28907,Manhattan,10128,4,,150
29013,Brooklyn,11238,2,,70
29455,Manhattan,10027,4,,66
